"Dimension","Category","All","Technical","NonTechnical"
"Study setting","Lab experiment","40 (54.8%)","16 (45.7%)","24 (63.2%)"
"Study setting","Field experiment","14 (19.2%)","12 (34.3%)","2 (5.3%)"
"Study setting","Online experiment","13 (17.8%)","2 (5.7%)","11 (28.9%)"
"Study setting","Not reported","1 (1.4%)","1 (2.9%)","0 (0.0%)"
"Study setting","Multiple (differs across experiments)","5 (6.8%)","4 (11.4%)","1 (2.6%)"
"HRI type encountered","Actual Physical Robot Interaction (Real robot)","50 (68.5%)","28 (80.0%)","22 (57.9%)"
"HRI type encountered","Video/Description of Robot shown to participants","16 (21.9%)","3 (8.6%)","13 (34.2%)"
"HRI type encountered","Actual Virtual Robot Interaction (AR/VR)","3 (4.1%)","1 (2.9%)","2 (5.3%)"
"HRI type encountered","Other or information not provided","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"HRI type encountered","Multiple (differs across experiments)","4 (5.5%)","3 (8.6%)","1 (2.6%)"
"Participant country reported","Reported","16 (21.9%)","3 (8.6%)","13 (34.2%)"
"Participant country reported","Not reported","57 (78.1%)","32 (91.4%)","25 (65.8%)"
